trade_date,close,open,北向资金
2017-12-07,3971.0569,4003.5826,-1475.11
2017-12-08,4003.3792,3962.8288,3989.0
2017-12-11,4069.4997,4006.8784,1663.44
2017-12-12,4016.0163,4068.5053,-659.19
2017-12-13,4050.0927,4013.8319,3017.74
2017-12-14,4026.1516,4050.9028,709.28
2017-12-15,3980.8558,4018.7313,-2524.0
2017-12-18,3985.2914,3983.2965,1986.69
2017-12-19,4035.3294,3985.8233,1710.18
2017-12-20,4030.4898,4036.019,-798.96
2017-12-21,4067.8485,4023.076,1363.48
2017-12-22,4054.5984,4064.9131,0.0
2017-12-27,3991.2075,4045.2793,928.31
2017-12-28,4018.8974,3992.997,3056.3
2017-12-29,4030.8549,4022.8826,1641.0
2018-01-02,4087.4012,4045.2086,3513.12
2018-01-03,4111.3925,4091.4607,4629.73
2018-01-04,4128.8119,4114.1213,4519.57
2018-01-05,4138.7505,4133.3439,2606.0
2018-01-08,4160.1595,4140.8545,1925.48
2018-01-09,4189.2977,4157.5394,3076.1
2018-01-10,4207.8132,4187.2044,1727.18
2018-01-11,4205.5863,4197.1136,235.54
2018-01-12,4225.001,4205.1444,2285.0
2018-01-15,4225.2393,4229.8357,-1640.2
2018-01-16,4258.473,4215.6247,2536.53
2018-01-17,4248.1164,4261.7833,-644.17
2018-01-18,4271.4168,4259.375,1993.74
2018-01-19,4285.395,4281.9371,1217.0
2018-01-22,4336.5974,4276.4811,2384.18
2018-01-23,4382.6129,4346.8885,2857.91
2018-01-24,4389.8853,4389.4547,429.95
2018-01-25,4365.0794,4381.9768,2474.35
2018-01-26,4381.2996,4352.2211,3181.0
2018-01-29,4302.0181,4387.0577,-713.19
2018-01-30,4256.1021,4286.6834,531.78
2018-01-31,4275.8986,4234.1101,147.62
2018-02-01,4245.8978,4276.3425,429.05
2018-02-02,4271.2326,4213.9386,16.0
2018-02-05,4274.1464,4204.458,-3266.07
2018-02-06,4148.8856,4182.3257,-9664.18
